Anho,1P,T,Asistencia,Cod.Car.Sec,Cant.Materias,Recursante,Cant. C1,CGF,CIV,IND,MEC,ELE,MCT,ECA,Abandono
2019,0,0,1,MCT-PLS13 ,5,0,1,0,0,0,0,0,1,0,1
2016,5,3,1,ELE-PLS13 ,3,0,1,0,0,0,0,1,0,0,1
2017,7,2,0,ELE-PLS13 ,5,0,1,0,0,0,0,1,0,0,1
2019,0,0,1,ELE-PLS13 ,4,0,1,0,0,0,0,1,0,0,1
2022,0,0,1,ELE-PLS13 ,3,0,1,0,0,0,0,1,0,0,1
2019,15,4,1,ELE-PLS13 ,2,1,1,0,0,0,0,1,0,0,0
2019,10,0,1,ELE-PLS13 ,3,1,1,0,0,0,0,1,0,0,0
2021,0,0,1,CIV-PLS13 ,7,0,1,0,1,0,0,0,0,0,1
2016,12,3,1,CIV-PLS09 ,4,0,1,0,1,0,0,0,0,0,1
2021,10,3,1,CGF-PLS13 ,8,1,6,1,0,0,0,0,0,0,0
2016,0,0,0,CGF-PLS13 ,4,0,1,1,0,0,0,0,0,0,1
2017,5,2,1,CGF-PLS13 ,3,0,1,1,0,0,0,0,0,0,1
2018,0,0,0,CGF-PLS13 ,2,0,1,1,0,0,0,0,0,0,1
2019,20,4,1,CGF-PLS13 ,4,1,1,1,0,0,0,0,0,0,1
2019,5,0,1,CGF-PLS13 ,4,1,1,1,0,0,0,0,0,0,1
2016,20,8,1,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,0
2016,9,4,1,ELE-PLS09 ,3,0,1,0,0,0,0,1,0,0,0
2017,17,4,0,ELE-PLS09 ,3,0,1,0,0,0,0,1,0,0,0
2016,17,4,1,ELE-PLS13 ,5,1,1,0,0,0,0,1,0,0,0
2017,0,0,0,ELE-PLS13 ,3,1,1,0,0,0,0,1,0,0,0
2016,8,4,1,ELE-PLS09 ,2,1,1,0,0,0,0,1,0,0,0
2017,0,2,0,ELE-PLS09 ,6,1,1,0,0,0,0,1,0,0,0
2017,0,2,1,CIV-PLS13 ,4,0,1,0,1,0,0,0,0,0,1
2018,15,2,1,CIV-PLS13 ,5,0,1,0,1,0,0,0,0,0,1
2019,16,5,1,CIV-PLS13 ,4,1,1,0,1,0,0,0,0,0,1
2016,0,0,0,CGF-PLS13 ,5,1,1,1,0,0,0,0,0,0,0
2017,21,4,1,CGF-PLS13 ,6,1,1,1,0,0,0,0,0,0,0
2016,12,6,1,CIV-PLS13 ,4,0,1,0,1,0,0,0,0,0,1
2017,0,0,0,CIV-PLS13 ,4,0,1,0,1,0,0,0,0,0,1
2018,20,0,0,MEC-PLS13 ,4,0,1,0,0,0,1,0,0,0,1
2019,10,4,1,MEC-PLS13 ,5,0,1,0,0,0,1,0,0,0,1
2016,14,8,1,ECA-PLS09 ,3,1,1,0,0,0,0,0,0,1,0
2016,20,9,1,ELE-PLS13 ,5,1,1,0,0,0,0,1,0,0,0
2016,11,0,0,CIV-PLS13 ,4,1,1,0,1,0,0,0,0,0,1
2017,7,2,1,CIV-PLS13 ,9,0,1,0,1,0,0,0,0,0,1
2018,13,3,1,CIV-PLS13 ,5,0,1,0,1,0,0,0,0,0,1
2019,16,4,1,CGF-PLS13 ,6,0,1,1,0,0,0,0,0,0,1
2019,7,7,1,CGF-PLS13 ,5,0,1,1,0,0,0,0,0,0,1
2021,8,5,1,CGF-PLS13 ,5,1,1,1,0,0,0,0,0,0,1
2021,0,5,1,CGF-PLS13 ,7,0,1,1,0,0,0,0,0,0,1
2016,19,6,1,IND-PLS13 ,4,1,1,0,0,1,0,0,0,0,0
2017,19,3,1,ELE-PLS13 ,3,0,1,0,0,0,0,1,0,0,1
2019,0,0,0,ELE-PLS13 ,5,0,1,0,0,0,0,1,0,0,1
2021,0,0,1,ELE-PLS13 ,6,0,1,0,0,0,0,1,0,0,1
2021,0,0,1,ELE-PLS13 ,7,0,1,0,0,0,0,1,0,0,1
2022,5,2,1,CGF-PLS13 ,7,0,1,1,0,0,0,0,0,0,1
2018,2,2,1,MEC-PLS13 ,4,0,2,0,0,0,1,0,0,0,0
2019,7,2,1,MEC-PLS13 ,6,0,2,0,0,0,1,0,0,0,0
2019,7,4,1,MEC-PLS13 ,5,0,2,0,0,0,1,0,0,0,0
2021,5,4,1,MEC-PLS13 ,8,0,2,0,0,0,1,0,0,0,0
2022,4,2,1,CGF-PLS13 ,4,0,2,1,0,0,0,0,0,0,0
2017,0,0,0,ELE-PLS13 ,5,0,2,0,0,0,0,1,0,0,1
2018,21,6,1,ELE-PLS13 ,4,1,2,0,0,0,0,1,0,0,1
2017,0,5,1,CIV-PLS13 ,4,1,1,0,1,0,0,0,0,0,0
2016,20,4,1,CIV-PLS13 ,2,1,1,0,1,0,0,0,0,0,0
2019,11,5,1,CIV-PLS13 ,4,0,3,0,1,0,0,0,0,0,0
2019,6,7,1,CIV-PLS13 ,5,0,3,0,1,0,0,0,0,0,0
2016,2,7,1,ELE-PLS13 ,5,1,1,0,0,0,0,1,0,0,0
2017,13,7,1,ELE-PLS13 ,5,1,1,0,0,0,0,1,0,0,0
2016,6,8,1,CIV-PLS13 ,4,0,1,0,1,0,0,0,0,0,1
2017,13,2,0,IND-PLS09 ,5,0,1,0,0,1,0,0,0,0,1
2019,0,0,1,CIV-PLS13 ,5,0,1,0,1,0,0,0,0,0,1
2019,4,0,0,CIV-PLS13 ,3,0,1,0,1,0,0,0,0,0,1
2021,5,0,1,CIV-PLS13 ,6,0,1,0,1,0,0,0,0,0,1
2021,8,3,1,CIV-PLS13 ,7,0,1,0,1,0,0,0,0,0,1
2016,12,7,1,ELE-PLS13 ,4,1,1,0,0,0,0,1,0,0,0
2018,10,3,1,MEC-PLS13 ,4,0,1,0,0,0,1,0,0,0,0
2019,12,5,1,MEC-PLS13 ,5,1,1,0,0,0,1,0,0,0,0
2019,10,0,1,MEC-PLS13 ,6,1,1,0,0,0,1,0,0,0,0
2016,14,8,1,ELE-PLS13 ,3,1,1,0,0,0,0,1,0,0,0
2017,23,9,1,ELE-PLS13 ,4,1,1,0,0,0,0,1,0,0,0
2016,19,7,1,ELE-PLS13 ,5,1,1,0,0,0,0,1,0,0,0
2016,14,7,1,ECA-PLS13 ,5,1,1,0,0,0,0,0,0,1,0
2016,13,2,1,CIV-PLS09 ,4,0,5,0,1,0,0,0,0,0,1
2018,0,0,1,CIV-PLS13 ,4,0,5,0,1,0,0,0,0,0,1
2016,13,5,1,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,1
2017,0,0,0,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,1
2018,0,4,1,CIV-PLS13 ,5,0,1,0,1,0,0,0,0,0,1
2019,0,2,1,CIV-PLS13 ,5,0,1,0,1,0,0,0,0,0,1
2019,0,0,1,CIV-PLS13 ,5,0,1,0,1,0,0,0,0,0,1
2021,0,0,1,CIV-PLS13 ,5,0,1,0,1,0,0,0,0,0,1
2021,0,0,1,CIV-PLS13 ,6,0,1,0,1,0,0,0,0,0,1
2016,13,5,1,ELE-PLS09 ,3,1,1,0,0,0,0,1,0,0,0
2016,15,0,0,CGF-PLS13 ,7,1,1,1,0,0,0,0,0,0,0
2016,10,10,1,CIV-PLS13 ,4,1,1,0,1,0,0,0,0,0,0
2016,12,4,1,CIV-PLS13 ,3,1,1,0,1,0,0,0,0,0,0
2016,16,3,1,MCT-PLS13 ,5,0,1,0,0,0,0,0,1,0,0
2017,18,5,1,MCT-PLS13 ,5,1,1,0,0,0,0,0,1,0,0
2016,18,9,1,MCT-PLS13 ,5,1,1,0,0,0,0,0,1,0,0
2016,4,0,0,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,1
2017,0,0,0,CIV-PLS13 ,5,0,1,0,1,0,0,0,0,0,1
2018,0,0,1,CIV-PLS13 ,5,0,1,0,1,0,0,0,0,0,1
2018,24,6,1,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,0
2016,12,3,1,ELE-PLS13 ,3,1,1,0,0,0,0,1,0,0,0
2016,0,2,0,CIV-PLS13 ,2,0,1,0,1,0,0,0,0,0,1
2017,16,3,1,CIV-PLS13 ,3,0,1,0,1,0,0,0,0,0,1
2018,21,5,1,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,1
2016,11,10,1,ELE-PLS13 ,3,1,1,0,0,0,0,1,0,0,0
2016,22,8,1,CIV-PLS13 ,3,1,1,0,1,0,0,0,0,0,0
2016,8,4,1,ELE-PLS13 ,5,0,1,0,0,0,0,1,0,0,1
2017,16,4,1,ELE-PLS13 ,4,1,1,0,0,0,0,1,0,0,1
2018,15,2,1,ELE-PLS13 ,5,1,1,0,0,0,0,1,0,0,1
2019,7,4,1,ELE-PLS13 ,3,0,1,0,0,0,0,1,0,0,1
2019,0,3,1,ELE-PLS13 ,4,0,1,0,0,0,0,1,0,0,1
2021,0,1,1,ELE-PLS13 ,4,0,1,0,0,0,0,1,0,0,1
2021,3,1,1,ELE-PLS13 ,6,0,1,0,0,0,0,1,0,0,1
2022,0,0,1,ELE-PLS13 ,5,0,1,0,0,0,0,1,0,0,1
2016,15,5,1,ELE-PLS13 ,3,1,1,0,0,0,0,1,0,0,0
2016,15,6,1,ELE-PLS13 ,5,1,1,0,0,0,0,1,0,0,0
2016,14,7,1,ELE-PLS13 ,2,1,1,0,0,0,0,1,0,0,0
2016,17,5,1,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,1
2017,0,0,0,CIV-PLS13 ,6,1,1,0,1,0,0,0,0,0,1
2018,16,3,1,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,1
2019,0,0,1,CIV-PLS13 ,6,1,1,0,1,0,0,0,0,0,1
2019,6,5,1,CIV-PLS13 ,6,1,1,0,1,0,0,0,0,0,1
2021,0,0,1,CIV-PLS13 ,6,0,1,0,1,0,0,0,0,0,1
2016,10,8,1,ELE-PLS13 ,5,1,1,0,0,0,0,1,0,0,0
2016,12,6,1,ELE-PLS13 ,5,1,1,0,0,0,0,1,0,0,0
2017,19,0,0,ELE-PLS13 ,4,1,1,0,0,0,0,1,0,0,0
2016,15,6,1,MEC-PLS09 ,8,1,1,0,0,0,1,0,0,0,0
2016,8,6,1,MCT-PLS13 ,3,1,1,0,0,0,0,0,1,0,0
2016,17,8,1,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,0
2017,20,6,1,CIV-PLS13 ,4,1,1,0,1,0,0,0,0,0,0
2016,14,0,0,CIV-PLS13 ,8,1,1,0,1,0,0,0,0,0,0
2016,8,6,1,ELE-PLS13 ,3,1,1,0,0,0,0,1,0,0,0
2016,9,4,1,IND-PLS13 ,4,1,1,0,0,1,0,0,0,0,0
2016,3,9,1,CGF-PLS13 ,5,1,1,1,0,0,0,0,0,0,0
2016,0,6,0,ECA-PLS13 ,5,0,1,0,0,0,0,0,0,1,1
2018,11,2,1,ECA-PLS13 ,5,1,1,0,0,0,0,0,0,1,1
2019,0,0,1,ECA-PLS13 ,4,1,1,0,0,0,0,0,0,1,1
2019,0,0,1,ECA-PLS13 ,4,0,1,0,0,0,0,0,0,1,1
2021,10,1,1,ECA-PLS13 ,5,0,1,0,0,0,0,0,0,1,1
2016,14,10,1,MCT-PLS13 ,4,1,1,0,0,0,0,0,1,0,0
2016,18,3,1,CIV-PLS13 ,4,1,1,0,1,0,0,0,0,0,0
2016,10,5,1,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,0
2016,20,9,1,CIV-PLS09 ,4,1,1,0,1,0,0,0,0,0,0
2016,20,8,1,CIV-PLS13 ,3,1,1,0,1,0,0,0,0,0,0
2016,17,9,1,IND-PLS13 ,3,1,1,0,0,1,0,0,0,0,0
2016,12,8,1,ELE-PLS13 ,4,1,1,0,0,0,0,1,0,0,0
2016,11,6,1,MEC-PLS13 ,4,1,1,0,0,0,1,0,0,0,0
2016,19,6,1,ELE-PLS13 ,3,1,1,0,0,0,0,1,0,0,0
2021,13,1,1,CIV-PLS13 ,3,0,7,0,1,0,0,0,0,0,1
2022,5,5,1,CIV-PLS13 ,3,0,7,0,1,0,0,0,0,0,1
2016,6,5,1,CIV-PLS13 ,5,0,1,0,1,0,0,0,0,0,1
2017,17,3,1,CIV-PLS13 ,4,0,1,0,1,0,0,0,0,0,1
2018,17,0,1,CIV-PLS13 ,4,0,1,0,1,0,0,0,0,0,1
2019,8,1,1,CIV-PLS13 ,4,0,1,0,1,0,0,0,0,0,1
2019,7,2,1,CIV-PLS13 ,4,0,1,0,1,0,0,0,0,0,1
2021,9,0,1,CGF-PLS13 ,7,0,1,1,0,0,0,0,0,0,1
2021,0,0,1,CGF-PLS13 ,8,0,1,1,0,0,0,0,0,0,1
2022,5,0,1,CIV-PLS13 ,4,0,1,0,1,0,0,0,0,0,1
2016,10,8,1,ELE-PLS13 ,4,1,1,0,0,0,0,1,0,0,0
2016,0,0,0,ELE-PLS13 ,4,0,5,0,0,0,0,1,0,0,1
2019,10,4,1,ECA-PLS13 ,5,0,5,0,0,0,0,0,0,1,1
2016,0,0,0,CGF-PLS13 ,6,0,1,1,0,0,0,0,0,0,1
2017,0,2,1,CGF-PLS13 ,8,0,1,1,0,0,0,0,0,0,1
2018,0,0,1,CGF-PLS13 ,8,0,1,1,0,0,0,0,0,0,1
2019,0,1,1,CGF-PLS13 ,4,0,1,1,0,0,0,0,0,0,1
